,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop,YEAR,WEEK,Total Cases
696,2018-07-15,0.4286229166666666,1.1607143298969071,20.571456790123452,0.0,0.0,0.8888979591836733,1.7142909090909093,2018.0,29.0,72.0
697,2018-07-22,0.4286229166666666,1.1607143298969071,20.571456790123452,0.0,0.0,0.8888979591836733,0.8571454545454547,2018.0,30.0,67.0
698,2018-07-29,0.4286229166666666,1.1607143298969071,20.571456790123452,0.2381041666666667,0.0,1.7777959183673466,0.0,2018.0,31.0,60.0
699,2018-08-05,0.8572458333333333,1.1607143298969071,30.857185185185184,0.2381041666666667,0.0,2.6666938775510203,1.7142909090909093,2018.0,32.0,65.0
700,2018-08-12,0.8572458333333333,2.3214286597938143,30.857185185185184,0.2381041666666667,0.0,3.5555918367346933,1.7142909090909093,2018.0,33.0,54.0
701,2018-08-19,1.28586875,3.4821429896907214,56.571506172839506,0.4762083333333333,0.3636484536082474,7.1111836734693865,2.5714363636363635,2018.0,34.0,104.0
702,2018-08-26,1.7144916666666663,4.642857319587629,72.00009876543211,0.9524166666666668,0.3636484536082474,9.777877551020408,2.5714363636363635,2018.0,35.0,131.0
703,2018-09-02,3.000360416666666,9.285714639175255,87.42869135802471,1.6667291666666668,1.090945360824742,18.666857142857143,3.4285818181818186,2018.0,36.0,171.0
704,2018-09-09,3.000360416666666,11.607143298969074,102.85728395061727,2.1429375,1.090945360824742,28.44473469387755,6.857163636363637,2018.0,37.0,203.0
705,2018-09-16,3.428983333333333,13.928571958762886,113.143012345679,2.619145833333333,1.4545938144329895,36.444816326530606,4.2857272727272715,2018.0,38.0,224.0
706,2018-09-23,4.286229166666667,18.571429278350514,118.28587654320988,3.8096666666666663,1.8182422680412367,49.77828571428571,6.857163636363637,2018.0,39.0,221.0
707,2018-09-30,4.714852083333333,25.53571525773196,113.143012345679,5.238291666666667,2.1818907216494843,71.11183673469387,8.571454545454545,2018.0,40.0,289.0
708,2018-10-07,4.286229166666667,25.53571525773196,113.143012345679,5.0001875,2.545539175257732,73.77853061224491,6.857163636363637,2018.0,41.0,306.0
709,2018-10-14,5.5720979166666655,31.339286907216497,149.14306172839503,6.190708333333332,2.9091876288659786,87.11200000000001,10.285745454545452,2018.0,42.0,403.0
710,2018-10-21,5.143475,26.69642958762887,138.85733333333332,5.476395833333334,3.272836082474227,72.00073469387755,10.285745454545452,2018.0,43.0,441.0
711,2018-10-28,4.714852083333333,22.05357226804124,128.5716049382716,4.523979166666667,3.272836082474227,55.11167346938775,7.714309090909091,2018.0,44.0,489.0
712,2018-11-04,4.286229166666667,18.571429278350514,138.85733333333332,3.5715625,2.9091876288659786,42.667102040816324,7.714309090909091,2018.0,45.0,644.0
713,2018-11-11,4.286229166666667,17.41071494845361,195.42883950617286,3.3334583333333336,3.272836082474227,33.77812244897959,7.714309090909091,2018.0,46.0,774.0
714,2018-11-18,3.000360416666666,12.76785762886598,169.71451851851853,2.85725,3.272836082474227,24.00024489795918,6.000018181818183,2018.0,47.0,973.0
715,2018-11-25,4.714852083333333,16.2500006185567,200.5717037037037,3.3334583333333336,3.6364845360824734,24.00024489795918,7.714309090909091,2018.0,48.0,1109.0
716,2018-12-02,4.714852083333333,13.928571958762886,180.00024691358024,2.85725,2.9091876288659786,19.555755102040816,9.4286,2018.0,49.0,1812.0
717,2018-12-09,5.143475,15.089286288659794,200.5717037037037,3.095354166666666,3.6364845360824734,16.00016326530612,9.4286,2018.0,50.0,3436.0
718,2018-12-16,6.429343749999999,17.41071494845361,221.14316049382717,3.8096666666666663,4.727429896907216,15.111265306122448,12.000036363636365,2018.0,51.0,5481.0
719,2018-12-23,7.7152125,22.05357226804124,282.8575308641976,5.0001875,6.545672164948454,12.444571428571427,15.428618181818182,2018.0,52.0,7093.0
