,index,YEAR,WEEK,Total Cases,index,influenza st,Influenza dis,Common Cold dis,flu st,flu symptoms st,Influenza Vaccine vacc,prevent flu st,Hand sanitizer topic,Oseltamivir med,Oseltamivir st,tamiflu st,pneumonia st,Fever medcond,tylenol st,chills st,Nasal Congestion syndrome,Cough topic,Cold medicine topic,Antibiotics drugtype,Antimicrobial resistance topic,Ibuprofen med,immunity st,Immunity topic,Swine influenza topic,flu medicine st
686,689,2018.0,22.0,165.0,686,3.5357142857142856,5.0649350649350655,78.3,1.1538461538461535,1.3636363636363635,1.6,3.75,22.95,1.5,3.8095238095238098,1.8095238095238089,70.58858858858859,102.7544351073763,50.63333333333333,187.7942857142857,132.1214574898785,140.73801560758082,89.90712074303406,131.11652173913046,13.26315789473684,191.91374663072776,88.21316614420063,83.71160714285716,0.040816326530612235,9.157894736842106
687,690,2018.0,23.0,153.0,687,2.8928571428571432,4.220779220779221,75.6,0.989010989010989,1.3636363636363635,1.6,3.0,21.0375,1.0,4.190476190476192,0.9047619047619048,65.54654654654655,113.02987861811391,51.66666666666666,195.01714285714286,121.33603238866397,134.74916387959863,87.09752321981425,127.66608695652174,12.31578947368421,180.9472468232576,78.76175548589345,75.81428571428572,0.030612244897959183,6.340080971659919
688,691,2018.0,24.0,116.0,688,2.5714285714285716,4.220779220779221,78.3,0.989010989010989,1.0909090909090908,1.6,2.25,21.0375,1.0,3.4285714285714284,0.9047619047619048,65.54654654654655,106.86461251167131,52.7,184.18285714285716,126.72874493927124,137.74358974358975,89.90712074303406,131.11652173913046,9.947368421052632,189.17212167886024,66.15987460815046,69.49642857142857,0.040816326530612235,7.748987854251013
689,692,2018.0,25.0,87.0,689,1.9285714285714288,4.220779220779221,78.3,0.989010989010989,1.0909090909090908,1.6,2.25,21.0375,1.0,4.571428571428571,0.9047619047619048,65.54654654654655,106.86461251167131,53.73333333333333,205.85142857142856,124.03238866396762,137.74358974358975,87.09752321981425,129.3913043478261,8.526315789473685,191.91374663072776,59.858934169279,61.59910714285714,0.030612244897959183,5.635627530364372
690,693,2018.0,26.0,86.0,690,1.9285714285714288,4.220779220779221,72.9,0.989010989010989,1.0909090909090908,1.6,1.5,21.0375,1.0,3.8095238095238098,0.9047619047619048,63.025525525525524,100.69934640522877,54.76666666666667,209.46285714285716,118.63967611336031,128.76031215161652,81.47832817337459,136.29217391304346,8.526315789473685,189.17212167886024,81.91222570532916,64.75803571428571,0.030612244897959183,7.044534412955465
691,694,2018.0,27.0,69.0,691,2.25,4.220779220779221,72.9,0.8241758241758241,0.8181818181818182,1.6,2.25,22.95,0.5,3.0476190476190474,0.9047619047619048,57.9834834834835,100.69934640522877,54.76666666666667,213.07428571428574,115.9433198380567,122.77146042363434,78.6687306501548,132.84173913043477,6.63157894736842,186.4304967269927,63.009404388714714,60.019642857142856,0.030612244897959183,4.9311740890688265
692,695,2018.0,28.0,64.0,692,1.9285714285714288,3.3766233766233773,67.5,0.8241758241758241,0.8181818181818182,1.6,2.25,19.125,0.5,3.8095238095238098,0.9047619047619048,60.5045045045045,98.64425770308122,54.76666666666667,205.85142857142856,107.85425101214577,116.78260869565216,70.23993808049535,127.66608695652174,6.157894736842105,194.65537158259534,56.70846394984326,52.12232142857143,0.030612244897959183,7.044534412955465
693,696,2018.0,29.0,72.0,693,1.6071428571428572,3.3766233766233773,64.8,0.6593406593406593,0.8181818181818182,1.0666666666666669,1.5,21.0375,0.5,3.8095238095238098,0.9047619047619048,57.9834834834835,100.69934640522877,52.7,202.24,102.46153846153842,110.79375696767002,70.23993808049535,129.3913043478261,7.578947368421053,194.65537158259534,56.70846394984326,50.542857142857144,0.020408163265306117,6.340080971659919
694,697,2018.0,30.0,67.0,694,1.2857142857142858,3.3766233766233773,67.5,0.6593406593406593,0.8181818181818182,1.0666666666666669,1.5,19.125,1.0,2.2857142857142856,0.9047619047619048,50.42042042042043,98.64425770308122,52.7,205.85142857142856,97.06882591093118,107.79933110367891,64.62074303405574,129.3913043478261,5.2105263157894735,194.65537158259534,50.407523510971785,48.96339285714286,0.020408163265306117,4.9311740890688265
695,698,2018.0,31.0,60.0,695,1.6071428571428572,3.3766233766233773,64.8,0.8241758241758241,0.8181818181818182,1.6,2.25,21.0375,1.0,4.190476190476192,0.9047619047619048,55.46246246246246,98.64425770308122,55.8,205.85142857142856,94.37246963562752,104.80490523968784,61.81114551083591,132.84173913043477,5.2105263157894735,194.65537158259534,59.858934169279,55.28125,0.030612244897959183,7.044534412955465
696,699,2018.0,32.0,65.0,696,1.6071428571428572,3.3766233766233773,62.1,0.6593406593406593,0.8181818181818182,1.6,2.25,21.0375,0.5,3.0476190476190474,0.9047619047619048,52.94144144144144,96.58916900093372,54.76666666666667,202.24,88.97975708502025,101.81047937569677,61.81114551083591,132.84173913043477,6.157894736842105,200.1386214863304,81.91222570532916,63.17857142857143,0.020408163265306117,4.9311740890688265
697,700,2018.0,33.0,54.0,697,1.6071428571428572,3.3766233766233773,62.1,0.6593406593406593,0.8181818181818182,1.6,1.5,24.8625,0.5,3.0476190476190474,0.9047619047619048,52.94144144144144,96.58916900093372,54.76666666666667,209.46285714285716,97.06882591093118,98.81605351170569,59.00154798761611,134.56695652173914,5.684210526315789,197.3969965344629,69.31034482758622,58.44017857142857,0.030612244897959183,5.635627530364372
698,701,2018.0,34.0,104.0,698,1.6071428571428572,3.3766233766233773,62.1,0.8241758241758241,0.8181818181818182,2.1333333333333333,0.75,24.8625,0.5,2.2857142857142856,0.9047619047619048,52.94144144144144,96.58916900093372,53.73333333333333,213.07428571428574,99.76518218623482,98.81605351170569,64.62074303405574,129.3913043478261,5.2105263157894735,191.91374663072776,59.858934169279,53.701785714285705,0.030612244897959183,5.635627530364372
699,702,2018.0,35.0,131.0,699,1.9285714285714288,3.3766233766233773,67.5,0.8241758241758241,0.8181818181818182,2.6666666666666665,2.25,24.8625,0.5,3.4285714285714284,0.9047619047619048,52.94144144144144,96.58916900093372,53.73333333333333,198.62857142857143,99.76518218623482,101.81047937569677,67.43034055727554,129.3913043478261,6.63157894736842,200.1386214863304,63.009404388714714,56.860714285714295,0.030612244897959183,5.635627530364372
700,703,2018.0,36.0,171.0,700,1.9285714285714288,4.220779220779221,67.5,0.8241758241758241,0.8181818181818182,3.2,2.25,26.775,0.5,3.0476190476190474,0.9047619047619048,55.46246246246246,96.58916900093372,54.76666666666667,191.40571428571425,110.5506072874494,101.81047937569677,67.43034055727554,129.3913043478261,4.7368421052631575,189.17212167886024,56.70846394984326,56.860714285714295,0.030612244897959183,4.9311740890688265
701,704,2018.0,37.0,203.0,701,2.25,5.0649350649350655,81.0,0.989010989010989,1.0909090909090908,5.333333333333333,3.0,24.8625,0.5,2.666666666666667,0.9047619047619048,52.94144144144144,96.58916900093372,53.73333333333333,195.01714285714286,121.33603238866397,107.79933110367891,75.85913312693499,129.3913043478261,6.157894736842105,191.91374663072776,160.67398119122257,86.8705357142857,0.030612244897959183,6.340080971659919
702,705,2018.0,38.0,224.0,702,2.5714285714285716,5.909090909090909,89.1,1.3186813186813189,1.0909090909090908,6.933333333333334,3.0,24.8625,0.5,3.8095238095238098,0.9047619047619048,63.025525525525524,98.64425770308122,55.8,198.62857142857143,145.60323886639677,116.78260869565216,92.71671826625388,132.84173913043477,8.052631578947368,197.3969965344629,78.76175548589345,66.3375,0.030612244897959183,7.748987854251013
703,706,2018.0,39.0,221.0,703,3.5357142857142856,9.285714285714286,97.2,1.8131868131868127,1.6363636363636365,12.266666666666666,3.75,24.8625,1.0,3.4285714285714284,0.9047619047619048,65.54654654654655,100.69934640522877,55.8,202.24,153.69230769230768,122.77146042363434,101.14551083591331,131.11652173913046,9.0,194.65537158259534,66.15987460815046,61.59910714285714,0.040816326530612235,9.862348178137653
704,707,2018.0,40.0,289.0,704,3.5357142857142856,10.974025974025974,105.3,2.142857142857143,1.6363636363636365,18.133333333333333,6.75,24.8625,1.0,3.4285714285714284,1.8095238095238089,73.10960960960962,100.69934640522877,55.8,195.01714285714286,148.2995951417004,128.76031215161652,106.76470588235294,132.84173913043477,10.421052631578947,189.17212167886024,75.61128526645768,72.65535714285714,0.040816326530612235,11.271255060728743
705,708,2018.0,41.0,306.0,705,3.8571428571428568,12.662337662337661,110.7,2.472527472527472,1.9090909090909087,22.93333333333333,4.5,22.95,1.0,3.4285714285714284,1.8095238095238089,78.15165165165166,108.91970121381884,56.83333333333334,198.62857142857143,167.17408906882588,134.74916387959863,118.0030959752322,138.01739130434785,11.842105263157894,194.65537158259534,75.61128526645768,71.07589285714286,0.040816326530612235,9.862348178137653
706,709,2018.0,42.0,403.0,706,4.5,16.038961038961038,113.4,3.2967032967032965,2.1818181818181817,30.93333333333333,6.75,22.95,1.0,3.0476190476190474,1.8095238095238089,83.1936936936937,106.86461251167131,54.76666666666667,184.18285714285716,150.99595141700402,155.71014492753622,118.0030959752322,139.7426086956522,13.73684210526316,197.3969965344629,78.76175548589345,74.23482142857142,0.040816326530612235,10.5668016194332
