,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop
369,2012-04-08,3.238484259259259,4.285714448850118,66.00009030864166,1.0000375,1.6364180412371134,1.3333435373889353,3.499999381315115
370,2012-04-15,3.0479851851851847,4.285714448850118,60.00008209876515,0.857175,1.2727695876288658,0.6666717686944676,1.499999734849335
371,2012-04-22,3.0479851851851847,3.571428707375099,60.00008209876515,0.857175,1.2727695876288658,1.3333435373889353,1.9999996464657803
372,2012-04-29,2.857486111111111,3.571428707375099,56.00007662551414,0.7143125,1.0909453608247421,0.6666717686944676,0.9999998232328902
373,2012-05-06,2.6669870370370368,3.571428707375099,54.000073888888636,0.7143125,1.0909453608247421,0.6666717686944676,2.499999558082225
374,2012-05-13,2.2859888888888884,3.571428707375099,54.000073888888636,0.7143125,1.2727695876288658,0.6666717686944676,1.499999734849335
375,2012-05-20,2.476487962962963,3.571428707375099,50.00006841563762,0.7143125,1.0909453608247421,0.6666717686944676,0.9999998232328902
376,2012-05-27,1.7144916666666665,2.8571429659000795,50.00006841563762,0.57145,1.0909453608247421,0.6666717686944676,3.499999381315115
377,2012-06-03,1.9049907407407405,2.8571429659000795,50.00006841563762,0.57145,0.9091211340206184,0.6666717686944676,1.9999996464657803
378,2012-06-10,1.5239925925925923,2.8571429659000795,46.00006294238661,0.7143125,0.9091211340206184,0.6666717686944676,0.9999998232328902
379,2012-06-17,1.5239925925925923,2.8571429659000795,48.000065679012124,0.57145,0.7272969072164948,0.6666717686944676,0.9999998232328902
380,2012-06-24,1.1429944444444442,2.142857224425059,44.00006020576111,0.57145,0.7272969072164948,0.6666717686944676,1.9999996464657803
381,2012-07-01,1.3334935185185184,2.142857224425059,46.00006294238661,0.57145,0.7272969072164948,0.6666717686944676,1.9999996464657803
382,2012-07-08,1.3334935185185184,2.142857224425059,42.000057469135605,0.57145,0.7272969072164948,0.6666717686944676,1.499999734849335
383,2012-07-15,1.5239925925925923,2.142857224425059,42.000057469135605,0.4285875,0.7272969072164948,0.6666717686944676,0.9999998232328902
384,2012-07-22,1.3334935185185184,2.142857224425059,44.00006020576111,0.57145,0.9091211340206184,0.6666717686944676,1.9999996464657803
385,2012-07-29,1.3334935185185184,2.8571429659000795,46.00006294238661,0.7143125,0.9091211340206184,1.3333435373889353,1.9999996464657803
386,2012-08-05,1.5239925925925923,2.8571429659000795,46.00006294238661,0.7143125,1.0909453608247421,2.0000153060834025,0.9999998232328902
387,2012-08-12,1.7144916666666665,2.8571429659000795,48.000065679012124,0.7143125,1.0909453608247421,2.6666870747778706,0.9999998232328902
388,2012-08-19,2.0954898148148144,3.571428707375099,56.00007662551414,0.857175,1.2727695876288658,4.000030612166805,2.499999558082225
389,2012-08-26,2.0954898148148144,4.285714448850118,58.000079362139644,1.0000375,1.4545938144329895,4.666702380861273,1.9999996464657803
390,2012-09-02,2.476487962962963,5.714285931800159,68.00009304526716,1.1429,1.4545938144329895,6.666717686944676,2.499999558082225
391,2012-09-09,3.0479851851851847,7.142857414750198,76.00010399176918,1.428625,1.6364180412371134,11.33342006780595,3.499999381315115
392,2012-09-16,3.0479851851851847,8.571428897700237,84.00011493827121,1.71435,1.818242268041237,14.666778911278287,2.499999558082225
